City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Christchurch,NZ,-43.5333,172.6333,48.4,69,100,2.3,overcast clouds
315,Lokoja,NG,7.8024,6.743,76.37,92,100,2.46,light rain
316,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,88,16,5.06,few clouds
317,Paka,MY,4.6374,103.4368,82.81,74,100,4.43,overcast clouds
318,High Level,CA,58.5169,-117.136,33.91,60,100,6.91,overcast clouds
319,Padang,ID,-0.9492,100.3543,86.05,81,100,6.24,overcast clouds
320,Romanovskaya,RU,47.5426,42.0285,56.08,46,20,6.11,few clouds
321,Atambua,ID,-9.1061,124.8925,81.43,67,34,3.29,scattered clouds
322,Huilong,CN,31.8111,121.655,66.88,71,19,13.11,few clouds
323,Inhambane,MZ,-23.865,35.3833,82.36,59,45,7.76,scattered clouds
324,Muromtsevo,RU,56.3724,75.2418,49.87,48,14,5.53,few clouds
325,Koumac,NC,-20.5667,164.2833,73.49,70,0,17.47,clear sky
326,Longyearbyen,SJ,78.2186,15.6401,35.44,69,40,12.66,scattered clouds
327,Isiolo,KE,0.3546,37.5822,84.33,26,79,8.55,broken clouds
328,Ahipara,NZ,-35.1667,173.1667,55.49,87,100,5.17,overcast clouds
329,Damaturu,NG,11.747,11.9608,82.11,59,95,5.19,overcast clouds
330,Kijang,KR,35.2442,129.2139,71.33,60,0,18.68,clear sky
331,Vanavara,RU,60.34,102.2797,34.81,78,100,7.63,overcast clouds
332,Yichun,CN,47.7,128.9,52.52,67,38,5.01,scattered clouds
333,Majene,ID,-3.5403,118.9707,84.16,70,91,5.7,overcast clouds
334,Veraval,IN,20.9,70.3667,90.16,48,100,3.42,overcast clouds
335,Mikhaylovka,RU,50.06,43.2379,52.79,55,7,9.89,clear sky
336,Almaznyy,RU,48.0448,40.045,54.77,49,64,7.72,broken clouds
337,Diamantina,BR,-18.2494,-43.6003,55.96,89,3,4.85,clear sky
338,Kiama,AU,-34.6833,150.8667,67.37,84,100,13.0,overcast clouds
339,Hilton Head Island,US,32.2163,-80.7526,69.85,94,100,5.75,overcast clouds
340,Port Blair,IN,11.6667,92.75,84.45,69,35,4.38,scattered clouds
341,Hazorasp,UZ,41.3194,61.0742,71.44,13,57,9.8,broken clouds
342,Porbandar,IN,21.6422,69.6093,90.3,49,10,5.95,clear sky
